nombre,latitud,longitud,tipo
Sen Omakase,40.4622352,-3.6701712,rest
Taberna 5 Mares,43.3774489,-8.4332531,rest
Enxebre,42.2329025,-8.716614,rest
Cañabota,37.3935972,-5.9936533,rest
A Tafona,42.880744,-8.5402512,rest
Lo Ponts,41.9124164,1.1888272,rest
Almo de Juan Guillamón,37.9842525,-1.132081,rest
Mar de Esteiro,42.9269753,-8.4825408,rest
Esperit Roca,42.0323124,2.8453888,rest
MAE Barcelona,41.4011914,2.1444565,rest
Morrofino,42.2383452,-8.7127237,rest
Els Casals,42.0325482,1.9605884,rest
Versátil,40.2372182,-6.0476206,rest
L'Ó,41.7448966,1.9003874,rest
Deliranto,41.0767475,1.1326351,rest
Simpar,42.8785045,-8.5446005,rest
Refectorio,41.6156187,-4.4106521,rest
OSA,40.4289589,-3.7327587,rest
NM,43.3652147,-5.8424752,rest
Fraula,39.4694922,-0.366224,rest
Prodigi,41.3984715,2.1662592,rest
Morro Tango,42.1791718,-1.7507215,rest
Toki,40.42788,-3.6972754,rest
La Salinera,41.8453646,3.1288292,rest
La Vasca,42.684257,-2.9492449,rest
Ayalga,43.4651241,-5.067508,rest
Bichopalo,40.442984,-3.697722,rest
Taller Arzuaga,41.6280676,-4.3237821,rest
Atxa,36.0136093,-5.6028377,rest
Auga,43.5465083,-5.6665859,rest
Nub,28.089486,-16.7352801,rest
Dos Cuiners,41.5388303,2.4436912,rest
Montia,40.5925602,-4.1474372,rest
La Sartén,40.6109118,-3.7136409,rest
Epílogo,39.1491269,-3.0270091,rest
Taste 1973,28.0562525,-16.7347525,rest
iBAi by Paulo Airaudo,43.3182991,-1.9806425,rest
Huerto Martínez,39.4883113,-0.688372,rest
Bardal,36.74161,-5.16655,rest
Sierra Quil'ama,40.541256,-5.919442,rest
Brots,41.23339,0.8445536,rest
Massana,41.98505,2.81958,rest
Hostal Colomí,41.5333819,1.3833486,rest
Castell Peralada,42.3078839,3.0114904,rest
Ochando,37.5901344,-5.7333002,rest
Abastos 2.0 - Mesas,42.8800202,-8.5416156,rest
Origen,39.1193545,-0.4521044,rest
Bistrot 1965,42.255818,3.0761205,rest
En la Parra,40.9606615,-5.6642767,rest
Ansils,42.5909183,0.5097959,rest
Aires de Doñana,37.1308369,-6.4901517,rest
Azurmendi,43.26065,-2.81454,rest
Cadelo,43.4643313,-3.8013494,rest
Varra,40.42656,-3.68833,rest
La Capilleta,42.5801078,0.3367735,rest
Aponiente,36.6033273,-6.2164435,rest
Platero & Co,36.5192237,-5.3169818,rest
El Portal de Echaurren,42.3257846,-3.0144146,rest
IZAKAYA Tasca Japonesa,39.9837312,-0.0369107,rest
Forastera,39.4747439,-0.3835095,rest
Casa Nova,41.3555907,1.6415855,rest
Kamezí,28.8598924,-13.8655864,rest
Suto,41.379936,2.1334655,rest
Eximio by Fernando Martín,40.4801997,-3.3698566,rest
Anaco,42.882361,-8.5396233,rest
El Rincón de Juan Carlos,28.1018325,-16.7535126,rest
La Fundición,40.9007073,-4.0049042,rest
Monte,43.1685435,-5.8225128,rest
Iwasaki,43.3593207,-3.0109448,rest
ConMimo,42.5966323,-5.5698368,rest
Origen,42.9090915,-1.5339959,rest
Fishølogy,41.3809826,2.154461,rest
Can Ferrán,41.5124685,2.0506522,rest
RavioXO,40.4479012,-3.69463,rest
Cobo Evolución,42.3415093,-3.698853,rest
Amelia by Paulo Airaudo,43.3168594,-1.9859469,rest
ARREA!,42.6692746,-2.3497835,rest
El Molín de Mingo,43.3855433,-5.0818996,rest
Dama Juana,37.767224,-3.7854772,rest
Bacira,40.4338309,-3.6990876,rest
El Cigró d'Or,41.3477866,1.6963295,rest
