nombre,latitud,longitud,estrella
EMi,-3.7151674,40.4387941,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Ramón Freixa Atelier,-3.6841807,40.4241667,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/DosEstrellas.svg
La Revelía,-2.7531089,43.2649574,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
La Barra de la Tasquería,-3.6738391,40.4223319,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
In-Pulso,-3.6803508,40.3924888,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Memoria Gustativa,-0.3654716,39.4673469,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Sen Omakase,-3.6701712,40.4622352,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Trasmallo,-8.6435703,42.4325916,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Oníric,2.1576505,41.4079047,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Caín,-5.0893202,41.3330366,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Le Bistró,-4.7621596,43.4123245,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Nublo,-2.8465048,42.5777859,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
La Cuchara de Ruba,-0.3204,42.62843,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Perro Limón,-1.1261415,37.9828129,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Alberca,-5.8839687,39.4602814,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Bistró Amunt,0.3310067,40.6110033,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
El Molino,-5.3610677,40.1560532,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Garena,-2.7659276,43.1295799,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
ReComiendo,-4.776105,37.908204,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
La Taberna de Mike Palmer,-4.3931692,36.7443351,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Ancestral,-3.8412509,40.4218575,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Glug,2.1459234,41.3882264,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Masta,-2.175453,43.2866409,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
iBAi by Paulo Airaudo,-1.9806425,43.3182991,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Varra,-3.68833,40.42656,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Anaco,-8.5396233,42.882361,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Avenir,2.1444062,41.3944626,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Èter,-3.6919123,40.3931752,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Kamezí,-13.8655864,28.8598924,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Haydée by Víctor Suárez,-16.7412967,28.0909726,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Albidaya,-3.6046932,37.1769941,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Morro Tango,-1.7507215,42.1791718,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Itzuli,-2.0268014,43.3121062,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
El Chiringuito,-4.0346132,36.8628756,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
La Trébede,-5.7334098,42.1010875,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Faralá,-3.5952603,37.1763702,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Taberna 5 Mares,-8.4332531,43.3774489,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Enxebre,-8.716614,42.2329025,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Montia,-4.1474372,40.5925602,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Nub,-16.7352801,28.089486,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Taste 1973,-16.7347525,28.0562525,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Sisè,0.6277,41.60743,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Con Culler,-8.5499057,42.8751062,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
SCAPAR,2.141922,41.3967624,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Esperit Roca,2.8453888,42.0323124,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Terra Olea,-4.7973683,37.8963188,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Kaido Sushi Bar,-0.3575637,39.470454,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Código de Barra,-6.2954065,36.5338733,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
